"meta_class","btid","color_hex","building_type","urban_mixed_use","urban_residential","urban_commercial","city_mixed_use","city_residential","city_commercial","town_mixed_use","town_residential","town_commercial","village_mixed_use","village_residential","village_commercial","neighborhood_residential","neighborhood_low","office_focus","mixed_office_and_r_and_d","office_industrial","industrial_focus","low_density_employment_park","high_intensity_activity_center","mid_intensity_activity_center","low_intensity_retail_centered_neighborhood","retail_strip_mall_big_box","industrial_office_res_mixed_high","industrial_office_res_mixed_low","suburban_multifamily","suburban_mixed_residential","residential_subdivision","large_lot_residential_area","rural_residential","rural_ranchettes","rural_employment","campus_or_university","institutional","parks_and_open_space"
"Mixed Use",1,"#940000","Skyscraper Mixed Use",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mixed Use",2,"#940000","High-Rise Mixed Use",0.1259119205,0,0.0108729536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mixed Use",3,"#C20000","Mid-Rise Mixed Use",0.1007295364,0,0.0108729536,0.0765,0.0102,0.0055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mixed Use",4,"#E61414","Low-Rise Mixed Use",0.0604377218,0,0.0163094305,0.0714,0,0.0055,0.048,0,0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mixed Use",5,"#FF6699","Parking Structure/Mixed Use",0,0,0,0.0255,0,0.0055,0.024,0,0.0165,0,0,0,0,0,0,0,0,0,0,0.0346284967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mixed Use",6,"#FF5252","Main Street Commercial/MU High (3-5 Floors)",0.0251823841,0.0251823841,0.0271823841,0.051,0.0153,0.0385,0.0624,0,0.0275,0.0245099904,0,0,0,0,0,0,0,0,0,0.2770279732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mixed Use",7,"#FF5252","Main Street Commercial/MU Low (1-2 Floors)",0,0,0,0,0,0,0.048,0.0705387053,0.055,0.0735299713,0,0.0550199809,0.0115598247,0,0,0,0,0,0,0,0.0346284967,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Residential",8,"#CC5500","Skyscraper Residential",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Residential",9,"#CC5500","High-Rise Residential",0.0755471523,0.2266414569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Residential",10,"#E66A05","Urban Mid-Rise Residential",0.0251823841,0.1762766887,0,0.0765,0.2244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1625692706,0,0,0,0,0,0,0,0,0.1208381754,0,0
"Residential",11,"#FF901A","Urban Podium Multi-Family",0.0151094305,0.0503647682,0,0.051,0.1326,0,0.048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0774139384,0,0,0,0,0,0,0,0,0.0671323196,0.0112352538,0
"Residential",12,"#FF901A","Standard Podium Multi-Family",0,0,0,0,0.051,0,0.024,0.1128619285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0851553322,0,0.227313635,0,0,0,0,0,0,0.0671323196,0,0
"Residential",13,"#FF901A","Suburban Multifamily Apt/Condo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0346284967,0.0346284967,0.013039207,0,0.0696725446,0.0764139384,0.2597870114,0.1198935057,0,0,0,0,0,0,0,0
"Residential",14,"#FFA733","Urban Townhome/Live-Work",0,0.0201459073,0,0.051,0.0765,0,0.096,0.2539393391,0,0.1470599426,0.2981423404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Residential",15,"#FFA733","Standard Townhome",0,0,0,0,0,0,0,0.0564309642,0,0,0,0,0,0,0,0,0,0,0,0.0692569933,0.0346284967,0,0,0.0851553322,0.1146209076,0.1298935057,0.0599467528,0,0,0,0,0,0,0,0
"Residential",16,"#FFA733","Garden Apartment",0,0,0,0,0,0,0,0.0705387053,0,0,0,0,0,0,0,0,0,0,0,0,0.10388549,0.0195588104,0,0,0.0840553322,0.0324733764,0.0899201293,0,0,0,0,0,0,0,0
"Residential",17,"#FCFE6F","Very Small Lot 3000",0,0,0,0,0,0,0,0,0,0.0490199809,0.1897269439,0,0.3930340394,0,0,0,0,0,0,0,0,0,0,0,0.0382069692,0,0.0299733764,0,0,0,0,0,0,0,0
"Residential",18,"#FCFE6F","Small Lot 4000",0,0,0,0,0,0,0,0,0,0.0980399617,0.0542076982,0,0.1444978086,0.2311964938,0,0,0,0,0,0,0,0.0977940521,0,0,0.0305655754,0,0.1079041551,0.199313635,0,0,0,0,0,0.0224705075,0
"Residential",19,"#FCFE6F","Medium Lot 5500",0,0,0,0,0,0,0,0,0,0,0,0,0.0288995617,0.2311964938,0,0,0,0,0,0,0,0.1825488973,0,0,0,0,0.0899201293,0.2847337642,0,0,0,0,0,0,0
"Residential",20,"#FFFFCC","Large Lot 7500",0,0,0,0,0,0,0,0,0,0,0,0,0,0.1155982469,0,0,0,0,0,0,0,0.0651960348,0,0,0,0,0.0719361034,0.0284733764,0.2702515788,0,0,0,0,0,0
"Residential",21,"#FFFFCC","Estate Lot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0284733764,0.2026886841,0.0424978909,0,0,0,0,0
"Residential",22,"#FFFFCC","Rural Residential",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1824198157,0.3824810181,0,0,0,0,0
"Residential",23,"#EBE07A","Rural Ranchette",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4164793308,0.9167888889,0.046874093,0,0,0
"Office/Industrial",24,"#DCC156","Skyscraper Office",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Office/Industrial",25,"#5D2682","High-Rise Office",0.0251823841,0,0.1630943046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Office/Industrial",26,"#862C90","Mid-Rise Office",0,0,0.1359119205,0.0255,0,0.099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Office/Industrial",27,"#8764A6","Low-Rise Office",0,0,0.1250389669,0.0255,0,0.1375,0.0912,0,0.0825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0619311507,0,0,0,0,0,0,0,0,0,0.0674115226,0
"Commercial/Retail",28,"#DC41B8","Main Street Commercial (Retail + Office/Medical)",0,0,0,0,0,0.1925,0.024,0,0.275,0.0735299713,0,0.440159847,0,0,0,0,0,0,0,0.1731424833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Commercial/Retail",29,"#F1C3C3","Parking Structure+Ground-Floor Retail",0.0251823841,0,0.0271823841,0.0306,0,0.0275,0,0,0.0275,0,0,0,0,0,0,0,0,0,0,0.0692569933,0.0692569933,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Commercial/Retail",30,"#A6A6A6","Parking Structure",0,0,0,0,0,0,0,0,0.0275,0,0,0,0,0,0,0.0349448517,0,0,0,0,0.0692569933,0,0,0,0,0,0,0,0,0,0,0,0.0134264639,0.0224705075,0
"Office/Industrial",31,"#A6A6A6","Office Park High",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5940624783,0.2166580803,0.037822314,0,0,0,0,0,0,0.0774139384,0,0,0,0,0,0,0,0,0,0,0
"Office/Industrial",32,"#EEE5FF","Office Park Low",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.230636021,0,0,0.028,0,0,0,0,0,0.0764139384,0,0,0,0,0,0,0,0,0,0
"Office/Industrial",33,"#EEE5FF","Industrial High",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0559117627,0.6051570248,0.0372678344,0,0,0,0,0,0.0774139384,0.0764139384,0,0,0,0,0,0,0,0,0.0112352538,0
